"To the door","До дверей"
"To the warehouse","На склад"
"Novaposhta","Нова Пошта"
"Min: 5","Мінімум 5"
"Enabled","Включено"
"Carrier Name","Назва доставки"
"Sort Order","Позиція"
"Ship to Applicable Countries","Доставка в"
"Ship to Specific Countries","Доставка в Країни"
"Displayed Error Message","Текст помилки коли не доступно"
"API key","Ключ доступа"
"Default Package Length (sm)","Довжина товару за-замовчуванням (см)"
"Default Package Width (sm)","Ширина товару за-замовчуванням (см)"
"Default Package Height (sm)","Висота товару за-замовчуванням (см)"
"Default Package Weight","Вага товару за-замовчуванням"
"Sender City","Місто відправлення"
"Sender Warehouse","Склад відправлення"
"Complete status","Завершувати замовлення зі статусом"
"Novaposhta: Status","Нова пошта: Статус"
"Novaposhta: Barcode","Нова пошта: Декларація"
"Declaration","Декларація"
"Status","Статус"
"Delete","Видалити"
"Successfully Sent, declaration №%s","Успішно відправлено, декларація №%s"
"Declaration №%s, canceled","Декларація №%s, скасована"
"Sender","Відправник"
"Contact Sender","Агент"
"Recipient","Отримувач"
"Firstname","Ім'я"
"Lastname","Прізвище"
"Middlename","По-батькові"
"Telephone","Телефон"
"City","Місто"
"Cities","Міста"
"Warehouse","Склад"
"Warehouses","Склади"
"Order","Замовлення"
"Increment Id","Номер замовлення"
"Cost","Вартість"
"Cost Control","Контроль оплати"
"Seats Amount","Кількість посилок"
"Description","Опис"
"Weight","Вага"
"Volume General","Загальний об'єм"
"Delivery","Доставка"
"Service Type","Тип доставки"
"Payment Method","Тип оплати"
"Payer Type","Тип платника"
"Cargo Type","Тип посилки"
"Send Date","Дата відправки"
"Delivary Date At","Дата доставки"
"Delivery Date At Interval","Час доставки"
"Saturday Delivery","Суботня доставка"
"Backward Delivery","Зворотня доставка"
"Redelivery String","Значення"
"Money","Гроші"
"Additional","Додатково"
"Additional Information","Додаткова інформація"
"Additional Documents","Супроводжувальні документи"
"Send","Відправити"
"Example: %s","Приклад: %s"
"Developer","Розробник"
"Free Delivery UA","Безкоштовна доставка Україна"
"Free Delivery Kiev","Безкоштовна доставка Київ"
"From:","Від:"
"Please choise the city","Виберіть місто"
"Please choise the warehouse","Виберіть склад"
"Please choise the street","Виберіть вулицю"
"Default Sender","Відправник (за-замовчуванням)"
"Default Agent","Агент (за-замовчуванням)"
"Default Description","Опис (за-замовчуванням)"
"Default Payment Method","Тип оплати (за-замовчуванням)"
"Default Payer Type","Платник (за-замовчуванням)"
"Default Cargo Type","Тип доставки (за-замовчуванням)"
"Default Backward Delivery Payer Type","Платник (зворотня доставка) (за-замовчуванням)"
"Default Backward Delivery Cargo Type","Тип доставки (зворотня доставка) (за-замовчуванням)"
"Pucking Number","Номер пакета"
"On Air","На льоту"
"Update Cron for Cities and Warehouses","Cron вираз оновлення міст та складів"
"Only if 'On Air' mode is disabled","Тільки коли режим 'На льоту' вимкнений"
"Cities and Warehouses direct from API","Міста та Склади напряму з API"
"Cities Management","Керування містами"
"Warehouses Management","Керування складами"
"Streets Management","Керування вулицями"
"Novaposhta: Register","Нова пошта: Реєстр"
"Novaposhta: Print Marks","Нова пошта: Друкувати Маркування"
"Novaposhta: Print TTN","Нова пошта: Друкувати ТТН"
"Novaposhta: Add to Register","Нова пошта: Додати в Реєстр"
"Novaposhta: Delete from Register","Нова пошта: Видалити з Реєстру"
"Marks","Маркування"
"TTN","ТТН"
"Total (sm), min 5","Всього (см), мінімум 5"
"Default Width","Ширина (за-замовчуванням)"
"Default Length","Довжина (за-замовчуванням)"
"Default Height","Висота (за-замовчуванням)"
"Total Width","Ширина (Всього)"
"Total Height","Висота (Всього)"
"Total Length","Довжина (Всього)"
"Print Marks","Друк Маркувань"
"Print TTN","Друк ТТН"
"Print","Друкувати"
"Street","Вулиця"
"Streets","Вулиці"
"House","Будинок"
"Flat","Квартира"
"Note","Коментар"
